_time,_field,key,objectType,P5,P8,Nivel,T_AMB,T3,T5,T8,RAD,EV FB,P4,CAUDAL VAP,T4,CAUDAL,T2
2026-04-13 11:01:00+00:00,presentValue,analogInput_103,analogInput,-0.0040807724,,,,,,,,,,,,,
2026-04-13 11:04:00+00:00,presentValue,analogInput_103,analogInput,-0.0040807724,,,,,,,,,,,,,
2026-04-13 11:07:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:10:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:13:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:16:00+00:00,presentValue,analogInput_103,analogInput,-0.0040807724,,,,,,,,,,,,,
2026-04-13 11:19:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:22:00+00:00,presentValue,analogInput_103,analogInput,-0.0040807724,,,,,,,,,,,,,
2026-04-13 11:25:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:28:00+00:00,presentValue,analogInput_103,analogInput,-0.0038847923,,,,,,,,,,,,,
2026-04-13 11:31:00+00:00,presentValue,analogInput_103,analogInput,-0.0036885738,,,,,,,,,,,,,
2026-04-13 11:34:00+00:00,presentValue,analogInput_103,analogInput,-0.0036885738,,,,,,,,,,,,,
2026-04-13 11:37:00+00:00,presentValue,analogInput_103,analogInput,-0.0036885738,,,,,,,,,,,,,
2026-04-13 11:40:00+00:00,presentValue,analogInput_103,analogInput,-0.0034925938,,,,,,,,,,,,,
2026-04-13 11:43:00+00:00,presentValue,analogInput_103,analogInput,-0.0036885738,,,,,,,,,,,,,
2026-04-13 11:46:00+00:00,presentValue,analogInput_103,analogInput,-0.0034925938,,,,,,,,,,,,,
2026-04-13 11:49:00+00:00,presentValue,analogInput_103,analogInput,-0.0034925938,,,,,,,,,,,,,
2026-04-13 11:52:00+00:00,presentValue,analogInput_103,analogInput,-0.0036885738,,,,,,,,,,,,,
2026-04-13 11:55:00+00:00,presentValue,analogInput_103,analogInput,-0.0034925938,,,,,,,,,,,,,
2026-04-13 11:58:00+00:00,presentValue,analogInput_103,analogInput,-0.0032963753,,,,,,,,,,,,,
2026-04-13 12:01:00+00:00,presentValue,analogInput_103,analogInput,-0.0031003952,,,,,,,,,,,,,
2026-04-13 12:04:00+00:00,presentValue,analogInput_103,analogInput,-0.0031003952,,,,,,,,,,,,,
2026-04-13 12:07:00+00:00,presentValue,analogInput_103,analogInput,-0.0027079582,,,,,,,,,,,,,
2026-04-13 12:10:00+00:00,presentValue,analogInput_103,analogInput,-0.0027079582,,,,,,,,,,,,,
2026-04-13 12:13:00+00:00,presentValue,analogInput_103,analogInput,-0.0025119781,,,,,,,,,,,,,
2026-04-13 12:16:00+00:00,presentValue,analogInput_103,analogInput,-0.0025119781,,,,,,,,,,,,,
2026-04-13 12:19:00+00:00,presentValue,analogInput_103,analogInput,-0.0021197796,,,,,,,,,,,,,
2026-04-13 12:22:00+00:00,presentValue,analogInput_103,analogInput,-0.0025119781,,,,,,,,,,,,,
2026-04-13 12:25:00+00:00,presentValue,analogInput_103,analogInput,-0.002315998,,,,,,,,,,,,,
2026-04-13 12:28:00+00:00,presentValue,analogInput_103,analogInput,-0.0021197796,,,,,,,,,,,,,
2026-04-13 12:31:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 12:34:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 12:37:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 12:40:00+00:00,presentValue,analogInput_103,analogInput,-0.001727581,,,,,,,,,,,,,
2026-04-13 12:43:00+00:00,presentValue,analogInput_103,analogInput,-0.001727581,,,,,,,,,,,,,
2026-04-13 12:46:00+00:00,presentValue,analogInput_103,analogInput,-0.001727581,,,,,,,,,,,,,
2026-04-13 12:49:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 12:52:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 12:55:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 12:58:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:01:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 13:04:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:07:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:10:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:13:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 13:16:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:19:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:22:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:25:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:28:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:31:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 13:34:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 13:37:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 13:40:00+00:00,presentValue,analogInput_103,analogInput,-0.0009431839,,,,,,,,,,,,,
2026-04-13 13:43:00+00:00,presentValue,analogInput_103,analogInput,-0.0007472038,,,,,,,,,,,,,
2026-04-13 13:46:00+00:00,presentValue,analogInput_103,analogInput,-0.0029044151,,,,,,,,,,,,,
2026-04-13 13:49:00+00:00,presentValue,analogInput_103,analogInput,-0.002315998,,,,,,,,,,,,,
2026-04-13 13:52:00+00:00,presentValue,analogInput_103,analogInput,-0.0021197796,,,,,,,,,,,,,
2026-04-13 13:55:00+00:00,presentValue,analogInput_103,analogInput,-0.0021197796,,,,,,,,,,,,,
2026-04-13 13:58:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 14:01:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 14:04:00+00:00,presentValue,analogInput_103,analogInput,-0.0019237995,,,,,,,,,,,,,
2026-04-13 14:07:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:10:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:13:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:16:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:19:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:22:00+00:00,presentValue,analogInput_103,analogInput,-0.0009431839,,,,,,,,,,,,,
2026-04-13 14:25:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:28:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:31:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:34:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:37:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:40:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:43:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 14:46:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:49:00+00:00,presentValue,analogInput_103,analogInput,-0.0009431839,,,,,,,,,,,,,
2026-04-13 14:52:00+00:00,presentValue,analogInput_103,analogInput,-0.001139164,,,,,,,,,,,,,
2026-04-13 14:55:00+00:00,presentValue,analogInput_103,analogInput,-0.001531601,,,,,,,,,,,,,
2026-04-13 14:58:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 15:01:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 15:04:00+00:00,presentValue,analogInput_103,analogInput,-0.0013356209,,,,,,,,,,,,,
2026-04-13 15:07:00+00:00,presentValue,analogInput_103,analogInput,-0.0009431839,,,,,,,,,,,,,
2026-04-13 15:10:00+00:00,presentValue,analogInput_103,analogInput,-0.0007472038,,,,,,,,,,,,,
2026-04-13 15:13:00+00:00,presentValue,analogInput_103,analogInput,-0.0009431839,,,,,,,,,,,,,
2026-04-13 15:16:00+00:00,presentValue,analogInput_103,analogInput,0.06337643,,,,,,,,,,,,,
2026-04-13 15:19:00+00:00,presentValue,analogInput_103,analogInput,0.13848162,,,,,,,,,,,,,
2026-04-13 15:22:00+00:00,presentValue,analogInput_103,analogInput,0.27065063,,,,,,,,,,,,,
2026-04-13 15:25:00+00:00,presentValue,analogInput_103,analogInput,0.4028201,,,,,,,,,,,,,
2026-04-13 15:28:00+00:00,presentValue,analogInput_103,analogInput,0.5591092,,,,,,,,,,,,,
2026-04-13 15:31:00+00:00,presentValue,analogInput_103,analogInput,0.72265387,,,,,,,,,,,,,
2026-04-13 15:34:00+00:00,presentValue,analogInput_103,analogInput,0.9042392,,,,,,,,,,,,,
2026-04-13 15:37:00+00:00,presentValue,analogInput_103,analogInput,1.1026893,,,,,,,,,,,,,
2026-04-13 15:40:00+00:00,presentValue,analogInput_103,analogInput,1.3146698,,,,,,,,,,,,,
2026-04-13 15:43:00+00:00,presentValue,analogInput_103,analogInput,1.5317488,,,,,,,,,,,,,
2026-04-13 15:46:00+00:00,presentValue,analogInput_103,analogInput,1.6868615,,,,,,,,,,,,,
2026-04-13 15:49:00+00:00,presentValue,analogInput_103,analogInput,1.7001963,,,,,,,,,,,,,
2026-04-13 15:52:00+00:00,presentValue,analogInput_103,analogInput,1.7029414,,,,,,,,,,,,,
2026-04-13 15:55:00+00:00,presentValue,analogInput_103,analogInput,1.6999998,,,,,,,,,,,,,
2026-04-13 15:58:00+00:00,presentValue,analogInput_103,analogInput,1.698431,,,,,,,,,,,,,
2026-04-13 16:01:00+00:00,presentValue,analogInput_103,analogInput,1.6994114,,,,,,,,,,,,,
2026-04-13 16:04:00+00:00,presentValue,analogInput_103,analogInput,1.729022,,,,,,,,,,,,,
2026-04-13 16:07:00+00:00,presentValue,analogInput_103,analogInput,1.668036,,,,,,,,,,,,,
2026-04-13 16:10:00+00:00,presentValue,analogInput_103,analogInput,1.7033339,,,,,,,,,,,,,
2026-04-13 16:13:00+00:00,presentValue,analogInput_103,analogInput,1.710197,,,,,,,,,,,,,
2026-04-13 16:16:00+00:00,presentValue,analogInput_103,analogInput,1.7133341,,,,,,,,,,,,,
2026-04-13 16:19:00+00:00,presentValue,analogInput_103,analogInput,1.7154913,,,,,,,,,,,,,
2026-04-13 16:22:00+00:00,presentValue,analogInput_103,analogInput,1.7135305,,,,,,,,,,,,,
2026-04-13 16:25:00+00:00,presentValue,analogInput_103,analogInput,1.7064714,,,,,,,,,,,,,
2026-04-13 16:28:00+00:00,presentValue,analogInput_103,analogInput,1.7086282,,,,,,,,,,,,,
2026-04-13 16:31:00+00:00,presentValue,analogInput_103,analogInput,1.7196093,,,,,,,,,,,,,
2026-04-13 16:34:00+00:00,presentValue,analogInput_103,analogInput,1.7141185,,,,,,,,,,,,,
2026-04-13 16:37:00+00:00,presentValue,analogInput_103,analogInput,1.7211785,,,,,,,,,,,,,
2026-04-13 16:40:00+00:00,presentValue,analogInput_103,analogInput,1.7152953,,,,,,,,,,,,,
2026-04-13 16:43:00+00:00,presentValue,analogInput_103,analogInput,1.7082357,,,,,,,,,,,,,
2026-04-13 16:46:00+00:00,presentValue,analogInput_103,analogInput,1.7225509,,,,,,,,,,,,,
2026-04-13 16:49:00+00:00,presentValue,analogInput_103,analogInput,1.7152953,,,,,,,,,,,,,
2026-04-13 16:52:00+00:00,presentValue,analogInput_103,analogInput,1.7131381,,,,,,,,,,,,,
2026-04-13 16:55:00+00:00,presentValue,analogInput_103,analogInput,1.7135305,,,,,,,,,,,,,
2026-04-13 16:58:00+00:00,presentValue,analogInput_103,analogInput,1.7090206,,,,,,,,,,,,,
2026-04-13 17:01:00+00:00,presentValue,analogInput_103,analogInput,1.7186289,,,,,,,,,,,,,
2026-04-13 17:04:00+00:00,presentValue,analogInput_103,analogInput,1.7092166,,,,,,,,,,,,,
2026-04-13 17:07:00+00:00,presentValue,analogInput_103,analogInput,1.717452,,,,,,,,,,,,,
2026-04-13 17:10:00+00:00,presentValue,analogInput_103,analogInput,1.7223549,,,,,,,,,,,,,
2026-04-13 17:13:00+00:00,presentValue,analogInput_103,analogInput,1.7105894,,,,,,,,,,,,,
2026-04-13 17:16:00+00:00,presentValue,analogInput_103,analogInput,1.7109814,,,,,,,,,,,,,
2026-04-13 17:19:00+00:00,presentValue,analogInput_103,analogInput,1.7176485,,,,,,,,,,,,,
2026-04-13 17:22:00+00:00,presentValue,analogInput_103,analogInput,1.702549,,,,,,,,,,,,,
2026-04-13 17:25:00+00:00,presentValue,analogInput_103,analogInput,1.710001,,,,,,,,,,,,,
2026-04-13 17:28:00+00:00,presentValue,analogInput_103,analogInput,1.7068634,,,,,,,,,,,,,
2026-04-13 17:31:00+00:00,presentValue,analogInput_103,analogInput,1.7121577,,,,,,,,,,,,,
2026-04-13 17:34:00+00:00,presentValue,analogInput_103,analogInput,1.7017646,,,,,,,,,,,,,
2026-04-13 17:37:00+00:00,presentValue,analogInput_103,analogInput,1.7127461,,,,,,,,,,,,,
2026-04-13 17:40:00+00:00,presentValue,analogInput_103,analogInput,1.706079,,,,,,,,,,,,,
2026-04-13 17:43:00+00:00,presentValue,analogInput_103,analogInput,1.7109814,,,,,,,,,,,,,
2026-04-13 17:46:00+00:00,presentValue,analogInput_103,analogInput,1.717845,,,,,,,,,,,,,
2026-04-13 17:49:00+00:00,presentValue,analogInput_103,analogInput,1.7223549,,,,,,,,,,,,,
2026-04-13 17:52:00+00:00,presentValue,analogInput_103,analogInput,1.7086282,,,,,,,,,,,,,
2026-04-13 17:55:00+00:00,presentValue,analogInput_103,analogInput,1.7170601,,,,,,,,,,,,,
2026-04-13 17:58:00+00:00,presentValue,analogInput_103,analogInput,1.7219629,,,,,,,,,,,,,
2026-04-13 18:01:00+00:00,presentValue,analogInput_103,analogInput,1.694509,,,,,,,,,,,,,
2026-04-13 18:05:00+00:00,presentValue,analogInput_103,analogInput,1.709805,,,,,,,,,,,,,
2026-04-13 18:07:00+00:00,presentValue,analogInput_103,analogInput,1.7029414,,,,,,,,,,,,,
